category,subcategory,subcategory_url,name,websites,phones,address,zipcode,emails,description
"Behavioral & Mental Health","Peer Counseling","http://philadelphia.pa.networkofcare.org/ps/services/subcategory.aspx?tax=RF-6500&cid=38542","Hall Mercer CMHC: Double Trouble Group information provided by: the Pennsylvania Prison Society","http://philadelphia.pa.networkofcare.org/ps/services/agency.aspx?pid=HallMercerCMHCDoubleTroubleGroup_1147_12_0,http://www.med.upenn.edu/pahosp","","245 S 8th St.  Philadelphia , PA  19107 ","19107","","Hall Mercer CMHC: Double Trouble Group information provided by: the Pennsylvania Prison Society Self help group for those recovering from mental illness or addiction.  "
"Behavioral & Mental Health","Peer Counseling","http://philadelphia.pa.networkofcare.org/ps/services/subcategory.aspx?tax=RF-6500&cid=38542","Hospital of the University of Pennsylvania Double Trouble Group information provided by: the Pennsylvania Prison Society","http://philadelphia.pa.networkofcare.org/ps/services/agency.aspx?pid=HospitaloftheUniversityofPennsylvaniaDoubleTroubleGroup_1147_12_0","","Founders Pavilion, 34th and Spruce Streets, 3rd Fl.  Philadelphia , PA  19104 ","19104","","Hospital of the University of Pennsylvania Double Trouble Group information provided by: the Pennsylvania Prison Society Self help group for those recovering from mental illness or addiction.  "
"Behavioral & Mental Health","Peer Counseling","http://philadelphia.pa.networkofcare.org/ps/services/subcategory.aspx?tax=RF-6500&cid=38542","Jewish Family and Children's Service information provided by: the Pennsylvania Prison Society","http://philadelphia.pa.networkofcare.org/ps/services/agency.aspx?pid=JewishFamilyandChildrensService_1147_12_0,http://www.jfcsphilly.org/","(866) 532-7669  ","2100 Arch st  Philadelphia , PA  19103 ","19103","info@jfcsphilly.org ","Jewish Family and Children's Service information provided by: the Pennsylvania Prison Society Jewish Family and Children's Service of Greater Philadelphia offers a diverse array of services to help children, adults, seniors, and families cope with challenges that arise throughout the lifecycle.  "
"Behavioral & Mental Health","Peer Counseling","http://philadelphia.pa.networkofcare.org/ps/services/subcategory.aspx?tax=RF-6500&cid=38542","Jewish Family and Children's Services: Arch Street information provided by: the Pennsylvania Prison Society","http://philadelphia.pa.networkofcare.org/ps/services/agency.aspx?pid=JewishFamilyandChildrensServicesArchStreet_1147_12_0,http://www.jfcsphilly.org/","(267) 256-2100 ","2100 Arch St., 5th Fl.  Philadelphia , PA  19103 ","19103","","Jewish Family and Children's Services: Arch Street information provided by: the Pennsylvania Prison Society Provides a variety of mental health Services including substance abuse counseling, prevention programming in a peer group setting and more. "
"Behavioral & Mental Health","Peer Counseling","http://philadelphia.pa.networkofcare.org/ps/services/subcategory.aspx?tax=RF-6500&cid=38542","Jewish Family and Children's Services: Veree Road information provided by: the Pennsylvania Prison Society","http://philadelphia.pa.networkofcare.org/ps/services/agency.aspx?pid=JewishFamilyandChildrensServicesVereeRoad_1147_12_0","(215) 934-5551 ","10125 Veree Rd, Suite 304  Philadelphia , PA  19116 ","10125","www.jfcsphil.org ","Jewish Family and Children's Services: Veree Road information provided by: the Pennsylvania Prison Society Provides a variety of mental health Services including substance abuse counseling, prevention programming in a peer group setting and more. "
"Behavioral & Mental Health","Peer Counseling","http://philadelphia.pa.networkofcare.org/ps/services/subcategory.aspx?tax=RF-6500&cid=38542","Jewish Family and Children's Services: North Broad Street information provided by: the Pennsylvania Prison Society","http://philadelphia.pa.networkofcare.org/ps/services/agency.aspx?pid=JewishFamilyandChildrensServicesNorthBroadStreet_1147_12_0,http://www.jfcsphilly.org/","(267) 2560-2200 ","Progress Plaza, 1501 N Broad St., #14  Philadelphia , PA  19122 ","19122","","Jewish Family and Children's Services: North Broad Street information provided by: the Pennsylvania Prison Society Provides a variety of mental health Services including substance abuse counseling, prevention programming in a peer group setting and more. "
"Behavioral & Mental Health","Peer Counseling","http://philadelphia.pa.networkofcare.org/ps/services/subcategory.aspx?tax=RF-6500&cid=38542","Liberty Resources for Peer Support information provided by: the Pennsylvania Prison Society","http://philadelphia.pa.networkofcare.org/ps/services/agency.aspx?pid=LibertyResourcesforPeerSupport_1147_12_0","(215) 634-2000 ","714 Market St., Suite 100  Philadelphia , PA  19106 ","19106","Lrinc@libertyresources.org ","Liberty Resources for Peer Support information provided by: the Pennsylvania Prison Society Provides peer support resources for individuals with physical disabilities. "
"Behavioral & Mental Health","Peer Counseling","http://philadelphia.pa.networkofcare.org/ps/services/subcategory.aspx?tax=RF-6500&cid=38542","Mental Health Association of SE PA: Peer ACTION information provided by: the Pennsylvania Prison Society","http://philadelphia.pa.networkofcare.org/ps/services/agency.aspx?pid=MentalHealthAssociationofSEPAPeerACTION_1147_12_0,http://www.mhasp.org/","(267) 507-3814 ","1211 Chestnut Street, 11th Floor  Philadelphia , PA  19107 ","19107","","Mental Health Association of SE PA: Peer ACTION information provided by: the Pennsylvania Prison Society MHASP offers over thirty-five services and programs in the ?five county? region of southeastern Pennsylvania: Bucks, Chester, Delaware, Montgomery and Philadelphia counties. Many of the services are delivered by people in recovery with a mental health diagnosis, based on the principle that self-help and mutual support are empowering and that the best helpers for those in need are often those who have experienced similar challenges. Our recovery based practices and programs offer a model of service delivery that emphasizes peer support demonstrating that recovery from mental illness and/or addiction is possible. All of our services are designed to empower people with mental health diagnosis and their families to become practitioners of self-directed care. "
"Behavioral & Mental Health","Peer Counseling","http://philadelphia.pa.networkofcare.org/ps/services/subcategory.aspx?tax=RF-6500&cid=38542","North Philadelphia (Drop-In) Consumer Center information provided by: the Pennsylvania Prison Society","http://philadelphia.pa.networkofcare.org/ps/services/agency.aspx?pid=NorthPhiladelphiaDropInConsumerCenter_1147_12_0,http://www.dbhids.org/drop-in-centers/","(215) 236-7675 ","2221 N Broad St., 4th Fl.  Philadelphia , PA  19132 ","19132","","North Philadelphia (Drop-In) Consumer Center information provided by: the Pennsylvania Prison Society Provides mental health services. "
"Behavioral & Mental Health","Peer Counseling","http://philadelphia.pa.networkofcare.org/ps/services/subcategory.aspx?tax=RF-6500&cid=38542","Northeast Philadelphia Consumer Center information provided by: the Pennsylvania Prison Society","http://philadelphia.pa.networkofcare.org/ps/services/agency.aspx?pid=NortheastPhiladelphiaConsumerCenter_1147_12_0","(215) 624-6163 ","6801 Frankford Ave.  Philadelphia , PA  19135 ","19135","","Northeast Philadelphia Consumer Center information provided by: the Pennsylvania Prison Society Provides central location for self-help and mutual support, information and resource sharing, as well as opportunities to socialize. Everyone in the center - staff included - has had some experience with mental illness and the mental health system can share their experience with other consumers. "
"Behavioral & Mental Health","Peer Counseling","http://philadelphia.pa.networkofcare.org/ps/services/subcategory.aspx?tax=RF-6500&cid=38542","Pennsylvania Hospital: Hall Mecer Community Behavioral Health Center information provided by: the Pennsylvania Prison Society","http://philadelphia.pa.networkofcare.org/ps/services/agency.aspx?pid=PennsylvaniaHospitalHallMecerCommunityBehavioralHealthCenter_1147_12_0,http://www.med.upenn.edu/hallmercer/","(215) 809-5226 ","245 S 8th St.  Philadelphia , PA  19107 ","19107","","Pennsylvania Hospital: Hall Mecer Community Behavioral Health Center information provided by: the Pennsylvania Prison Society Self help group for those recovering from mental illness or addiction.  "
"Behavioral & Mental Health","Peer Counseling","http://philadelphia.pa.networkofcare.org/ps/services/subcategory.aspx?tax=RF-6500&cid=38542","Philadelphia Department of Behavioral Health and Intellectual disAbility Services (DBHIDS): Friends Connection information provided by: the Pennsylvania Prison Society","http://philadelphia.pa.networkofcare.org/ps/services/agency.aspx?pid=PhiladelphiaDepartmentofBehavioralHealthandIntellectualdisAbilityServicesDBHIDSFriendsConnection_1147_12_0,http://dbhids.org/friends-connection/","(215) 923-8042 ","520 Delaware Ave., 4th Fl., Suite B  Philadelphia , PA  19123 ","19123","","Philadelphia Department of Behavioral Health and Intellectual disAbility Services (DBHIDS): Friends Connection information provided by: the Pennsylvania Prison Society Proves peer support and social outings for clients with co-occurring mental disorders and drug/alcohol problems. "
"Behavioral & Mental Health","Peer Counseling","http://philadelphia.pa.networkofcare.org/ps/services/subcategory.aspx?tax=RF-6500&cid=38542","Pink and Blues Philadelphia information provided by: the Pennsylvania Prison Society","http://philadelphia.pa.networkofcare.org/ps/services/agency.aspx?pid=PinkandBluesPhiladelphia_1147_12_0","(215) 546-0300  ","330 S 13th St.   Philadelphia  , PA  ","","mark.davis@phila.gov  ","Pink and Blues Philadelphia information provided by: the Pennsylvania Prison Society A group for bisexual, gay, lesbian, and transgender individuals dealing with mental illness. Meets Wednesdays 7pm-9pm in the Blue Room at the Church of St. Luke and the Epiphany. Doors open at 6:30, please arrive no later than 7:15.  "
"Behavioral & Mental Health","Peer Counseling","http://philadelphia.pa.networkofcare.org/ps/services/subcategory.aspx?tax=RF-6500&cid=38542","Presbyterian Hospital Double Trouble Group information provided by: the Pennsylvania Prison Society","http://philadelphia.pa.networkofcare.org/ps/services/agency.aspx?pid=PresbyterianHospitalDoubleTroubleGroup_1147_12_0","","51 North 39th Street, Powelton Conf. Rm., 1st Fl.  Philadelphia , PA  19104 ","19104","","Presbyterian Hospital Double Trouble Group information provided by: the Pennsylvania Prison Society Self help group for those recovering from mental illness or addiction.  "
"Behavioral & Mental Health","Peer Counseling","http://philadelphia.pa.networkofcare.org/ps/services/subcategory.aspx?tax=RF-6500&cid=38542","Salvation Army: Eastern Pennsylvania information provided by: the Pennsylvania Prison Society","http://philadelphia.pa.networkofcare.org/ps/services/agency.aspx?pid=SalvationArmyEasternPennsylvania_1147_12_0,http://www.use.salvationarmy.org/use/www_use_easternpa.nsf","(215) 787-2978","701 N Broad Street  Philadelphia , PA  19123 ","19123","","Salvation Army: Eastern Pennsylvania information provided by: the Pennsylvania Prison Society OESS intake office for single women, families, and head of household (male or female) with children. This location is used for intake after 4pm on weekdays and all day on weekends. "
"Behavioral & Mental Health","Peer Counseling","http://philadelphia.pa.networkofcare.org/ps/services/subcategory.aspx?tax=RF-6500&cid=38542","The Institute of PA Hospital Double Trouble Group information provided by: the Pennsylvania Prison Society","http://philadelphia.pa.networkofcare.org/ps/services/agency.aspx?pid=TheInstituteofPAHospitalDoubleTroubleGroup_1147_12_0","","111 N 49th St., Presidents Conference Room  Philadelphia , PA  19139 ","19139","","The Institute of PA Hospital Double Trouble Group information provided by: the Pennsylvania Prison Society Self help group for those recovering from mental illness or addiction. Thursdays @ 8:00pm. "
"Behavioral & Mental Health","Peer Counseling","http://philadelphia.pa.networkofcare.org/ps/services/subcategory.aspx?tax=RF-6500&cid=38542","The Ridge Shelter Double Trouble Group information provided by: the Pennsylvania Prison Society","http://philadelphia.pa.networkofcare.org/ps/services/agency.aspx?pid=TheRidgeShelterDoubleTroubleGroup_1147_12_0","","1116 Ridge Ave.  Philadelphia , PA  19123 ","19123","","The Ridge Shelter Double Trouble Group information provided by: the Pennsylvania Prison Society Self help group for those recovering from mental illness or addiction. 2nd and 4th Thursday of each month at 7:00pm. "
"Behavioral & Mental Health","Psychiatric Mobile Response Teams","http://philadelphia.pa.networkofcare.org/ps/services/subcategory.aspx?tax=RP-1500.3400-650&cid=38542","Germantown Community Health Services: Einstein Crisis Response Center (CRC) information provided by: the Pennsylvania Prison Society","http://philadelphia.pa.networkofcare.org/ps/services/agency.aspx?pid=GermantownCommunityHealthServicesEinsteinCrisisResponseCenterCRC_1147_12_0,http://www.einstein.edu","(215) 951-8300 ","1 Penn Boulevard  Philadelphia , PA  19103 ","19103","","Germantown Community Health Services: Einstein Crisis Response Center (CRC) information provided by: the Pennsylvania Prison Society Offers 24-hour-a-day, seven-days-a-week care for adults, children and adolescents who have psychiatric emergencies that interfere with their usual level of daily functioning. "
"Behavioral & Mental Health","Psychiatric Mobile Response Teams","http://philadelphia.pa.networkofcare.org/ps/services/subcategory.aspx?tax=RP-1500.3400-650&cid=38542","Mercy Hospital CRC information provided by: the Pennsylvania Prison Society","http://philadelphia.pa.networkofcare.org/ps/services/agency.aspx?pid=MercyHospitalCRC_1147_12_0,http://www.mercyhealth.org/services/mental-health/","(215) 748-9525 ","501 S 54th St.  Philadelphia , PA  19143 ","19143","","Mercy Hospital CRC information provided by: the Pennsylvania Prison Society Crisis response center serving west and southwest Philadelphia "
"Behavioral & Mental Health","Psychiatric Mobile Response Teams","http://philadelphia.pa.networkofcare.org/ps/services/subcategory.aspx?tax=RP-1500.3400-650&cid=38542","Pennsylvania Hospital: Hall Mecer CRC information provided by: the Pennsylvania Prison Society","http://philadelphia.pa.networkofcare.org/ps/services/agency.aspx?pid=PennsylvaniaHospitalHallMecerCRC_1147_12_0,http://www.med.upenn.edu/hallmercer/clinical_crisis.shtml","(215) 829-5433 ","245 S 8th St.  Philadelphia , PA  19107 ","19107","","Pennsylvania Hospital: Hall Mecer CRC information provided by: the Pennsylvania Prison Society Crisis response center serving south Philadelphia and center city "
"Behavioral & Mental Health","Psychiatric Mobile Response Teams","http://philadelphia.pa.networkofcare.org/ps/services/subcategory.aspx?tax=RP-1500.3400-650&cid=38542","Mercy Hospital CRC information provided by: the Pennsylvania Prison Society","http://philadelphia.pa.networkofcare.org/ps/services/agency.aspx?pid=MercyHospitalCRC_1147_12_0,http://www.mercyhealth.org/services/mental-health/","(215) 748-9525 ","501 S 54th St.  Philadelphia , PA  19143 ","19143","","Mercy Hospital CRC information provided by: the Pennsylvania Prison Society Crisis response center serving west and southwest Philadelphia "
"Behavioral & Mental Health","Psychiatric Mobile Response Teams","http://philadelphia.pa.networkofcare.org/ps/services/subcategory.aspx?tax=RP-1500.3400-650&cid=38542","Germantown Community Health Services: Einstein Crisis Response Center (CRC) information provided by: the Pennsylvania Prison Society","http://philadelphia.pa.networkofcare.org/ps/services/agency.aspx?pid=GermantownCommunityHealthServicesEinsteinCrisisResponseCenterCRC_1147_12_0,http://www.einstein.edu","(215) 951-8300 ","1 Penn Boulevard  Philadelphia , PA  19103 ","19103","","Germantown Community Health Services: Einstein Crisis Response Center (CRC) information provided by: the Pennsylvania Prison Society Offers 24-hour-a-day, seven-days-a-week care for adults, children and adolescents who have psychiatric emergencies that interfere with their usual level of daily functioning. "
"Behavioral & Mental Health","Psychiatric Mobile Response Teams","http://philadelphia.pa.networkofcare.org/ps/services/subcategory.aspx?tax=RP-1500.3400-650&cid=38542","Pennsylvania Hospital: Hall Mecer CRC information provided by: the Pennsylvania Prison Society","http://philadelphia.pa.networkofcare.org/ps/services/agency.aspx?pid=PennsylvaniaHospitalHallMecerCRC_1147_12_0,http://www.med.upenn.edu/hallmercer/clinical_crisis.shtml","(215) 829-5433 ","245 S 8th St.  Philadelphia , PA  19107 ","19107","","Pennsylvania Hospital: Hall Mecer CRC information provided by: the Pennsylvania Prison Society Crisis response center serving south Philadelphia and center city "
"Behavioral & Mental Health","Sex Offender Counseling","http://philadelphia.pa.networkofcare.org/ps/services/subcategory.aspx?tax=RP-1400.8000-795&cid=38542","Joseph J. Peters Institute (JJPI) information provided by: the Pennsylvania Prison Society","http://philadelphia.pa.networkofcare.org/ps/services/agency.aspx?pid=JosephJPetersInstituteJJPI_1147_12_0,http://jjp.org/","(215) 701-1560 ","100 S. Broad Street  Philadelphia , PA  19110 ","19110","bzakireh@jjp.org ","Joseph J. Peters Institute (JJPI) information provided by: the Pennsylvania Prison Society JJPI is a non-profit mental health agency providing outpatient assessment and treatment services in the area of sexual abuse. "
"Behavioral & Mental Health","Sex Offender Counseling","http://philadelphia.pa.networkofcare.org/ps/services/subcategory.aspx?tax=RP-1400.8000-795&cid=38542","Joseph J. Peters Institute (JJPI) information provided by: the Pennsylvania Prison Society","http://philadelphia.pa.networkofcare.org/ps/services/agency.aspx?pid=JosephJPetersInstituteJJPI_1147_12_0,http://jjp.org/","(215) 701-1560 ","100 S. Broad Street  Philadelphia , PA  19110 ","19110","bzakireh@jjp.org ","Joseph J. Peters Institute (JJPI) information provided by: the Pennsylvania Prison Society JJPI is a non-profit mental health agency providing outpatient assessment and treatment services in the area of sexual abuse. "
"Behavioral & Mental Health","Sexual Assault Counseling","http://philadelphia.pa.networkofcare.org/ps/services/subcategory.aspx?tax=RP-1400.8000-800&cid=38542","Women Organized Against Rape (WOAR) information provided by: the Pennsylvania Prison Society","http://philadelphia.pa.networkofcare.org/ps/services/agency.aspx?pid=WomenOrganizedAgainstRapeWOAR_1147_12_0,http://www.woar.org/","(215) 985-3333","1 Penn Center 1617 JFK Blvd, Suite 1100    Philadelphia, PA 19103","19103","info@woar.org  ,","Women Organized Against Rape (WOAR) information provided by: the Pennsylvania Prison Society Women Organized Against Rape is a non-profit organization in Philadelphia, Pennsylvania whose mission is to eliminate all forms of sexual violence through specialized treatment services, comprehensive prevention education programs, and advocacy for the rights of victims of sexual assault. Provides free counseling for women, men and children who have experienced sexual violence. Please explore their website to learn more about sexual violence and the array of services that WOAR can provide to survivors, family members and the community.  "
"Behavioral & Mental Health","Sexual Assault Counseling","http://philadelphia.pa.networkofcare.org/ps/services/subcategory.aspx?tax=RP-1400.8000-800&cid=38542","Joseph J. Peters Institute (JJPI) information provided by: the Pennsylvania Prison Society","http://philadelphia.pa.networkofcare.org/ps/services/agency.aspx?pid=JosephJPetersInstituteJJPI_1147_12_0,http://jjp.org/","(215) 701-1560 ","100 S. Broad Street  Philadelphia , PA  19110 ","19110","bzakireh@jjp.org ","Joseph J. Peters Institute (JJPI) information provided by: the Pennsylvania Prison Society JJPI is a non-profit mental health agency providing outpatient assessment and treatment services in the area of sexual abuse. "
"Behavioral & Mental Health","Sexual Assault Counseling","http://philadelphia.pa.networkofcare.org/ps/services/subcategory.aspx?tax=RP-1400.8000-800&cid=38542","Joseph J. Peters Institute (JJPI) information provided by: the Pennsylvania Prison Society","http://philadelphia.pa.networkofcare.org/ps/services/agency.aspx?pid=JosephJPetersInstituteJJPI_1147_12_0,http://jjp.org/","(215) 701-1560 ","100 S. Broad Street  Philadelphia , PA  19110 ","19110","bzakireh@jjp.org ","Joseph J. Peters Institute (JJPI) information provided by: the Pennsylvania Prison Society JJPI is a non-profit mental health agency providing outpatient assessment and treatment services in the area of sexual abuse. "
"Behavioral & Mental Health","Sexual Assault Counseling","http://philadelphia.pa.networkofcare.org/ps/services/subcategory.aspx?tax=RP-1400.8000-800&cid=38542","Women Organized Against Rape (WOAR) information provided by: the Pennsylvania Prison Society","http://philadelphia.pa.networkofcare.org/ps/services/agency.aspx?pid=WomenOrganizedAgainstRapeWOAR_1147_12_0,http://www.woar.org/","(215) 985-3333","1 Penn Center 1617 JFK Blvd, Suite 1100    Philadelphia, PA 19103","19103","info@woar.org  ,","Women Organized Against Rape (WOAR) information provided by: the Pennsylvania Prison Society Women Organized Against Rape is a non-profit organization in Philadelphia, Pennsylvania whose mission is to eliminate all forms of sexual violence through specialized treatment services, comprehensive prevention education programs, and advocacy for the rights of victims of sexual assault. Provides free counseling for women, men and children who have experienced sexual violence. Please explore their website to learn more about sexual violence and the array of services that WOAR can provide to survivors, family members and the community.  "
"Behavioral & Mental Health","Transitional Mental Health Services","http://philadelphia.pa.networkofcare.org/ps/services/subcategory.aspx?tax=RR-8800&cid=38542","Interim House information provided by: the Pennsylvania Prison Society","http://philadelphia.pa.networkofcare.org/ps/services/agency.aspx?pid=InterimHouse_1147_12_0,http://www.interimhouse.org/site/","(215) 849-4606  ","333 West Upsal Street  Philadelphia , PA  19119 ","19119","karenh@phmc.org ","Interim House information provided by: the Pennsylvania Prison Society Interim House is a 501(c)(3) nonprofit agency that provides a continuum of comprehensive services to women with substance abuse and mental health issues. "
"Behavioral & Mental Health","Transitional Mental Health Services","http://philadelphia.pa.networkofcare.org/ps/services/subcategory.aspx?tax=RR-8800&cid=38542","Interim House West information provided by: the Pennsylvania Prison Society","http://philadelphia.pa.networkofcare.org/ps/services/agency.aspx?pid=InterimHouseWest_1147_12_0,http://www.phmc.org/site/index.php?option=com_content&view=article&id=155:ihw&catid=32:shared-programs&Itemid=1468","(215) 871-0300 ","4108 Parkside Avenue  Philadelphia , PA  19104 ","19104","angie@phmc.org ","Interim House West information provided by: the Pennsylvania Prison Society Interim House West Facilities, Inc. is a single asset nonprofit corporation that owns and manages the building occupied by PHMC’s Interim House West program, one of the few residential Substance Abuse Treatment Programs,Alcoholism Counseling,Drug Abuse Counseling, in Philadelphia for women and their children. This information was updated by the PPS. "
"Behavioral & Mental Health","Transitional Mental Health Services","http://philadelphia.pa.networkofcare.org/ps/services/subcategory.aspx?tax=RR-8800&cid=38542","Interim House information provided by: the Pennsylvania Prison Society","http://philadelphia.pa.networkofcare.org/ps/services/agency.aspx?pid=InterimHouse_1147_12_0,http://www.interimhouse.org/site/","(215) 849-4606  ","333 West Upsal Street  Philadelphia , PA  19119 ","19119","karenh@phmc.org ","Interim House information provided by: the Pennsylvania Prison Society Interim House is a 501(c)(3) nonprofit agency that provides a continuum of comprehensive services to women with substance abuse and mental health issues. "
"Behavioral & Mental Health","Transitional Mental Health Services","http://philadelphia.pa.networkofcare.org/ps/services/subcategory.aspx?tax=RR-8800&cid=38542","Resources for Human Development (RHD): Wister Street information provided by: the Pennsylvania Prison Society","http://philadelphia.pa.networkofcare.org/ps/services/agency.aspx?pid=ResourcesforHumanDevelopmentRHDWisterStreet_1147_12_0,http://www.rhd.org/Program.aspx?pid=183","(215) 438-9082   ","326 E. Wister Street   Philadelphia  , PA  ","","wisterst@rhd.org  ","Resources for Human Development (RHD): Wister Street information provided by: the Pennsylvania Prison Society Wister Street provides a therapeutic residential environment for individuals with serious and persistent mental illness who have some history of forensic involvement. The transitional program helps people learn social, emotional, behavioral, and life skills to facilitate independence, enabling them to move on to a permanent living situation.  "
"Behavioral & Mental Health","Transitional Mental Health Services","http://philadelphia.pa.networkofcare.org/ps/services/subcategory.aspx?tax=RR-8800&cid=38542","Resources for Human Development RHD: Mainstay Community Services information provided by: the Pennsylvania Prison Society","http://philadelphia.pa.networkofcare.org/ps/services/agency.aspx?pid=ResourcesforHumanDevelopmentRHDMainstayCommunityServices_1147_12_0","(215) 438-6379   ","3500 Scotts Lane   Philadelphia  , PA  ","","theresah@rhd.org  ","Resources for Human Development RHD: Mainstay Community Services information provided by: the Pennsylvania Prison Society Supervised community-based residential program designed to provide a range of established and innovative rehabilitation strategies for adults with developmental disabilities and problematic sexual behaviors who are in need of clinical/forensic treatment. The program focuses on community and personal safety, accountability, competence, least restrictive alternative, normalization, due process and control.  "
"Behavioral & Mental Health","Transitional Mental Health Services","http://philadelphia.pa.networkofcare.org/ps/services/subcategory.aspx?tax=RR-8800&cid=38542","Interim House West information provided by: the Pennsylvania Prison Society","http://philadelphia.pa.networkofcare.org/ps/services/agency.aspx?pid=InterimHouseWest_1147_12_0,http://www.phmc.org/site/index.php?option=com_content&view=article&id=155:ihw&catid=32:shared-programs&Itemid=1468","(215) 871-0300 ","4108 Parkside Avenue  Philadelphia , PA  19104 ","19104","angie@phmc.org ","Interim House West information provided by: the Pennsylvania Prison Society Interim House West Facilities, Inc. is a single asset nonprofit corporation that owns and manages the building occupied by PHMC’s Interim House West program, one of the few residential Substance Abuse Treatment Programs,Alcoholism Counseling,Drug Abuse Counseling, in Philadelphia for women and their children. This information was updated by the PPS. "
"Behavioral & Mental Health","Transitional Mental Health Services","http://philadelphia.pa.networkofcare.org/ps/services/subcategory.aspx?tax=RR-8800&cid=38542","Resources for Human Development (RHD): Wister Street information provided by: the Pennsylvania Prison Society","http://philadelphia.pa.networkofcare.org/ps/services/agency.aspx?pid=ResourcesforHumanDevelopmentRHDWisterStreet_1147_12_0,http://www.rhd.org/Program.aspx?pid=183","(215) 438-9082   ","326 E. Wister Street   Philadelphia  , PA  ","","wisterst@rhd.org  ","Resources for Human Development (RHD): Wister Street information provided by: the Pennsylvania Prison Society Wister Street provides a therapeutic residential environment for individuals with serious and persistent mental illness who have some history of forensic involvement. The transitional program helps people learn social, emotional, behavioral, and life skills to facilitate independence, enabling them to move on to a permanent living situation.  "
"Behavioral & Mental Health","Transitional Mental Health Services","http://philadelphia.pa.networkofcare.org/ps/services/subcategory.aspx?tax=RR-8800&cid=38542","Resources for Human Development RHD: Mainstay Community Services information provided by: the Pennsylvania Prison Society","http://philadelphia.pa.networkofcare.org/ps/services/agency.aspx?pid=ResourcesforHumanDevelopmentRHDMainstayCommunityServices_1147_12_0","(215) 438-6379   ","3500 Scotts Lane   Philadelphia  , PA  ","","theresah@rhd.org  ","Resources for Human Development RHD: Mainstay Community Services information provided by: the Pennsylvania Prison Society Supervised community-based residential program designed to provide a range of established and innovative rehabilitation strategies for adults with developmental disabilities and problematic sexual behaviors who are in need of clinical/forensic treatment. The program focuses on community and personal safety, accountability, competence, least restrictive alternative, normalization, due process and control.  "
"Behavioral & Mental Health","Veteran Reintegration Counseling","http://philadelphia.pa.networkofcare.org/ps/services/subcategory.aspx?tax=RP-1400.8000-900&cid=38542","Philadelphia Vet Center: Northeast information provided by: the Pennsylvania Prison Society","http://philadelphia.pa.networkofcare.org/ps/services/agency.aspx?pid=PhiladelphiaVetCenterNortheast_1147_12_0","(215) 924-4670   ","101 E. Olney Avenue Suite C-7   Philadelphia  , PA  ","","www.va.gov/directory/guide  ","Philadelphia Vet Center: Northeast information provided by: the Pennsylvania Prison Society Vet Centers provide individual, group and family counseling to all veterans who served in any combat zone. Services are also available for their family members. Veterans have earned these benefits through their combat service and all are provided at no cost to the veteran or family  "
"Behavioral & Mental Health","Veteran Reintegration Counseling","http://philadelphia.pa.networkofcare.org/ps/services/subcategory.aspx?tax=RP-1400.8000-900&cid=38542","Philadelphia Veterans Center information provided by: the Pennsylvania Prison Society","http://philadelphia.pa.networkofcare.org/ps/services/agency.aspx?pid=PhiladelphiaVeteransCenter_1147_12_0,http://www.va.gov/directory/guide/facility.asp?id=590","(215) 627-0238  ,(877) 927-8387 ","801 Arch St Suite 502  Philadelphia , PA  19107 ","19107","","Philadelphia Veterans Center information provided by: the Pennsylvania Prison Society Provides intensive outpatient for honorably discharged veterans and outpatient facilities. Normal working hours are 8:00am to 4:30pm Monday through Friday. In an effort to better serve the veteran and family members, upon request Vet Centers will provide services after normal work hours and/or on weekends. "
"Behavioral & Mental Health","Veteran Reintegration Counseling","http://philadelphia.pa.networkofcare.org/ps/services/subcategory.aspx?tax=RP-1400.8000-900&cid=38542","Prison Ministry information provided by: the Pennsylvania Prison Society","http://philadelphia.pa.networkofcare.org/ps/services/agency.aspx?pid=PrisonMinistry_1147_12_0","(215) 276-7200  ","2800 West Cheltenham Ave.   Philadelphia  , PA  ","","*This is ENON Tabernacle Chuch   ","Prison Ministry information provided by: the Pennsylvania Prison Society Provides counseling for returning veterans.  "
"Behavioral & Mental Health","Veteran Reintegration Counseling","http://philadelphia.pa.networkofcare.org/ps/services/subcategory.aspx?tax=RP-1400.8000-900&cid=38542","Philadelphia Vet Center: Northeast information provided by: the Pennsylvania Prison Society","http://philadelphia.pa.networkofcare.org/ps/services/agency.aspx?pid=PhiladelphiaVetCenterNortheast_1147_12_0","(215) 924-4670   ","101 E. Olney Avenue Suite C-7   Philadelphia  , PA  ","","www.va.gov/directory/guide  ","Philadelphia Vet Center: Northeast information provided by: the Pennsylvania Prison Society Vet Centers provide individual, group and family counseling to all veterans who served in any combat zone. Services are also available for their family members. Veterans have earned these benefits through their combat service and all are provided at no cost to the veteran or family  "
"Behavioral & Mental Health","Veteran Reintegration Counseling","http://philadelphia.pa.networkofcare.org/ps/services/subcategory.aspx?tax=RP-1400.8000-900&cid=38542","Prison Ministry information provided by: the Pennsylvania Prison Society","http://philadelphia.pa.networkofcare.org/ps/services/agency.aspx?pid=PrisonMinistry_1147_12_0","(215) 276-7200  ","2800 West Cheltenham Ave.   Philadelphia  , PA  ","","*This is ENON Tabernacle Chuch   ","Prison Ministry information provided by: the Pennsylvania Prison Society Provides counseling for returning veterans.  "
